date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:36:31	175200/175200	---M--	200	added ('OK')	image/jpeg	etag:%2294c60c908225a5525ebe68df5f6b70c5%22	https://cdn.goturkiye.com/goturkiye/shutterstock2119507637-kapak.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2119507637-kapak.jpg	(from https://goturkiye.com/one-of-the-largest-canyons-in-the-world-ihlara-valley)
02:36:32	220471/220471	---M--	200	added ('OK')	image/jpeg	etag:%227a0bd3c7f2278b62e92ed1d50e55adf3%22	https://cdn.goturkiye.com/goturkiye/shutterstock1131927332.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1131927332.jpg	(from https://goturkiye.com/one-of-the-largest-canyons-in-the-world-ihlara-valley)
02:36:33	179917/179917	---M--	200	added ('OK')	image/jpeg	etag:%22dcb270e708ebe393ec4e9ea15301f972%22	https://cdn.goturkiye.com/goturkiye/shutterstock2056375910.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2056375910.jpg	(from https://goturkiye.com/one-of-the-largest-canyons-in-the-world-ihlara-valley)
02:36:34	169475/169475	---M--	200	added ('OK')	image/jpeg	etag:%220f6315c6a11d1a92a39c1f66ab8a7c42%22	https://cdn.goturkiye.com/goturkiye/shutterstock2064550901.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2064550901.jpg	(from https://goturkiye.com/one-of-the-largest-canyons-in-the-world-ihlara-valley)
02:36:36	175040/175040	---M--	200	added ('OK')	image/jpeg	etag:%22cb64c250b6bda571026bbec443fe076a%22	https://cdn.goturkiye.com/goturkiye/shutterstock2056375919.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2056375919.jpg	(from https://goturkiye.com/one-of-the-largest-canyons-in-the-world-ihlara-valley)
02:36:37	199185/199185	---M--	200	added ('OK')	image/jpeg	etag:%22b13d37ffcfb3fe1f739a05a538df9175%22	https://cdn.goturkiye.com/goturkiye/shutterstock2119454984.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2119454984.jpg	(from https://goturkiye.com/one-of-the-largest-canyons-in-the-world-ihlara-valley)
02:36:38	204934/204934	---M--	200	added ('OK')	image/jpeg	etag:%22994d451cc39938fd66aa61e5d15dc8d8%22	https://cdn.goturkiye.com/goturkiye/shutterstock2116931369.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2116931369.jpg	(from https://goturkiye.com/one-of-the-largest-canyons-in-the-world-ihlara-valley)
02:36:39	175024/175024	---M--	200	added ('OK')	image/jpeg	etag:%228efa305a07a285475ba1bdd851d6dc86%22	https://cdn.goturkiye.com/goturkiye/shutterstock1547874155.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1547874155.jpg	(from https://goturkiye.com/one-of-the-largest-canyons-in-the-world-ihlara-valley)
02:36:40	201744/201744	---M--	200	added ('OK')	image/jpeg	etag:%22bc17b3cda3cf9c7d0d430ba13d1e5eb3%22	https://cdn.goturkiye.com/goturkiye/shutterstock2054291966.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2054291966.jpg	(from https://goturkiye.com/one-of-the-largest-canyons-in-the-world-ihlara-valley)
02:36:41	204804/204804	---M--	200	added ('OK')	image/jpeg	etag:%229a23cb8ef31fd0c86234fe78faf23174%22	https://cdn.goturkiye.com/goturkiye/shutterstock2064550895.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2064550895.jpg	(from https://goturkiye.com/one-of-the-largest-canyons-in-the-world-ihlara-valley)
